PERIODO,TIPO_GOBIERNO_NOMBRE,TIPO,DEPARTAMENTO_META_NOMBRE,MONTO_PIM,MONTO_DEVENGADO
2019,GOBIERNO NACIONAL,ADAPTACION,LA LIBERTAD,4695489,1253890
2019,GOBIERNO NACIONAL,ADAPTACION,LAMBAYEQUE,11735427,3872185
2019,GOBIERNO NACIONAL,ADAPTACION,LIMA,11501956,3387280
2019,GOBIERNO NACIONAL,ADAPTACION,MOQUEGUA,0,0
2019,GOBIERNO NACIONAL,ADAPTACION,PIURA,89511756,62148696
2019,GOBIERNO NACIONAL,ADAPTACION,PUNO,38621,35000
2019,GOBIERNO NACIONAL,ADAPTACION,TUMBES,7000938,981544
2019,GOBIERNO NACIONAL,ADAPTACION,NACIONAL,151769307,94764376
2019,GOBIERNO REGIONAL,ADAPTACION,AMAZONAS,6065893,5689908
2019,GOBIERNO REGIONAL,ADAPTACION,APURIMAC,5657228,5568521
2019,GOBIERNO REGIONAL,ADAPTACION,AREQUIPA,2607292,1064237
2019,GOBIERNO REGIONAL,ADAPTACION,AYACUCHO,5564350,5205242
2019,GOBIERNO REGIONAL,ADAPTACION,CAJAMARCA,65000,32000
2019,GOBIERNO REGIONAL,ADAPTACION,PROVINCIA CONSTITUCIONAL DEL CALLAO,8538593,0
2019,GOBIERNO REGIONAL,ADAPTACION,CUSCO,1087951,983330
2019,GOBIERNO REGIONAL,ADAPTACION,LIMA,1809513,425872
2019,GOBIERNO REGIONAL,ADAPTACION,MADRE DE DIOS,2961636,2934284
2019,GOBIERNO REGIONAL,ADAPTACION,MOQUEGUA,10000,9590
2019,GOBIERNO REGIONAL,ADAPTACION,PASCO,8672565,7137970
2019,GOBIERNO REGIONAL,ADAPTACION,PIURA,52199,0
2019,GOBIERNO REGIONAL,ADAPTACION,SAN MARTIN,93429,45102
2019,GOBIERNO REGIONAL,ADAPTACION,NACIONAL,43185649,29096056
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,ANCASH,364389,196026
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,APURIMAC,1965945,1833088
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,AREQUIPA,40000,37500
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,AYACUCHO,7913153,7265968
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,CAJAMARCA,774984,587843
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,CUSCO,26998151,25795285
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,HUANCAVELICA,938227,833722
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,HUANUCO,214353,214351
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,ICA,85212,65792
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,JUNIN,112692,82215
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,LA LIBERTAD,583306,389851
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,LIMA,645677,515907
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,LORETO,353808,336983
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,MADRE DE DIOS,380330,356921
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,MOQUEGUA,180000,149436
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,PASCO,1839032,1720566
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,PIURA,4361902,3908248
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,SAN MARTIN,1029714,1028641
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,TUMBES,306310,236664
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,UCAYALI,2547009,2196318
2019,GOBIERNOS LOCALES,ADAPTACION Y MITIGACION,NACIONAL,51634194,47751325
2019,GOBIERNO NACIONAL,ADAPTACION Y MITIGACION,AMAZONAS,5108678,4774792
2019,GOBIERNO NACIONAL,ADAPTACION Y MITIGACION,ANCASH,438269,438269
2019,GOBIERNO NACIONAL,ADAPTACION Y MITIGACION,HUANCAVELICA,1727157,1713087
2019,GOBIERNO NACIONAL,ADAPTACION Y MITIGACION,HUANUCO,1850542,1841233
2019,GOBIERNO NACIONAL,ADAPTACION Y MITIGACION,LORETO,7294071,7292327
2019,GOBIERNO NACIONAL,ADAPTACION Y MITIGACION,SAN MARTIN,717223,717221
2019,GOBIERNO NACIONAL,ADAPTACION Y MITIGACION,NACIONAL,17135940,16776929
2019,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,AMAZONAS,2016700,1950627
2019,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,ANCASH,25976110,2413369
2019,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,APURIMAC,25949901,25863928
2019,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,AYACUCHO,830493,638798
2019,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,CAJAMARCA,746516,250902
2019,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,CUSCO,7659975,6416138
2019,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,HUANCAVELICA,3563042,2703713
2019,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,HUANUCO,1447129,1437300
2019,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,LORETO,7051789,3879332
2019,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,PIURA,1000000,965955
2019,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,PUNO,628106,615546
2019,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,SAN MARTIN,4519104,4420246
2019,GOBIERNO REGIONAL,ADAPTACION Y MITIGACION,NACIONAL,81388865,51555854
2019,GOBIERNOS LOCALES,MITIGACION,AMAZONAS,6000,6000
2019,GOBIERNOS LOCALES,MITIGACION,ANCASH,1679,0
2019,GOBIERNOS LOCALES,MITIGACION,AYACUCHO,45000,36581
2019,GOBIERNOS LOCALES,MITIGACION,CAJAMARCA,55000,15000
2019,GOBIERNOS LOCALES,MITIGACION,CUSCO,1645942,1249831
2019,GOBIERNOS LOCALES,MITIGACION,LA LIBERTAD,73500,33500
2019,GOBIERNOS LOCALES,MITIGACION,LIMA,514744,28000
2019,GOBIERNOS LOCALES,MITIGACION,PUNO,21000,21000
2019,GOBIERNOS LOCALES,MITIGACION,SAN MARTIN,130053,46000
2019,GOBIERNOS LOCALES,MITIGACION,NACIONAL,2492918,1435912
2019,GOBIERNO REGIONAL,MITIGACION,CAJAMARCA,19267,19057
2019,GOBIERNO REGIONAL,MITIGACION,NACIONAL,19267,19057
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,AMAZONAS,8248426,7688899
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,ANCASH,38691099,14191487
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,APURIMAC,40206342,30573871
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,AREQUIPA,41183914,13285745
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,AYACUCHO,64954598,47211016
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,CAJAMARCA,56797092,27871597
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,CUSCO,33333680,11858221
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,HUANCAVELICA,11648946,5572793
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,HUANUCO,1749948,1096725
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,ICA,11471032,8491917
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,JUNIN,67769021,38066909
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,LA LIBERTAD,93035154,62304370
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,LAMBAYEQUE,14809119,5794792
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,LIMA,34735958,13873022
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,LORETO,13925346,13107139
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,MADRE DE DIOS,13381714,6844488
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,MOQUEGUA,240363,66678
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,NACIONAL,194954956,123860432
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,PASCO,10886763,9150462
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,PIURA,129807840,86319733
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,PROVINCIA CONSTITUCIONAL DEL CALLAO,8538593,0
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,PUNO,1070599,845565
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,SAN MARTIN,205214853,53699155
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,TACNA,3952847,1461
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,TUMBES,14761833,1034633
2019,TRES NIVELES DE GOBIERNO,ADAPTACION,UCAYALI,1909565,244935
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,AMAZONAS,7125378,6725419
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,ANCASH,26778768,3047664
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,APURIMAC,27915846,27697016
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,AREQUIPA,40000,37500
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,AYACUCHO,8743646,7904766
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,CAJAMARCA,1521500,838745
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,CUSCO,34658126,32211423
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,HUANCAVELICA,6228426,5250522
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,HUANUCO,3512024,3492884
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,ICA,85212,65792
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,JUNIN,112692,82215
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,LA LIBERTAD,583306,389851
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,LIMA,645677,515907
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,LORETO,14699668,11508642
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,MADRE DE DIOS,380330,356921
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,MOQUEGUA,180000,149436
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,NACIONAL,150158999,116084108
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,PASCO,1839032,1720566
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,PIURA,5361902,4874203
2019,TRES NIVELES DE GOBIERNO,ADAPTACION Y MITIGACION,PUNO,628106,615546
