Departamento,Year,Poblacion,Electores,PIM,Devengado,PIM_GN,Devengado_GN,PIM_GR,Devengado_GR,PIM_GL,Devengado_GL,Educacion,Salud,Saneamiento,Ambiente,Transportes,Turismo,Otros,PIM_CC,Devengado_CC,PIM_CC_GN,Devengado_CC_GN,PIM_CC_GR,Devengado_CC_GR,PIM_CC_GL,Devengado_CC_GL,Asignacion_Presupuestal_FONDES,Devengado_FONDES,Marco_Presupuestal_GN_Fondes,Devengado_GN_Fondes,Marco_Presupuestal_GR_Fondes,Devengado_GR_Fondes,Marco_Presupuestal_GL_Fondes,Devengado GL Fondes,PIM_CC_GN_ENTRE_PIM,PIM_CC_GR_ENTRE_PIM,PIM_CC_GL_ENTRE_PIM,AP_GN_Fondes_Entre_PIM,AP_GR_Fondes_Entre_PIM,AP_GL_Fondes_Entre_PIM
AYACUCHO,2018,698045,384700,1872138544,1294297562,376825516,275329492,437819739,375842794,1057493289,643125275,216127462,162941254,170730629,34566902,354079747,16220468,339631100,61690410,39637990,0,0,14888627,14169891,46801783,25468099,86636677,11535365,271189,104870,0,0,86365488,11430495,0,0.03401,0.04426,0.00072,0,0.08167
CAJAMARCA,2018,1543974,845429,2357966408,1394996213,509100459,417893338,584170115,199382818,1264695834,777720057,326659872,78482011,250498728,7216476,366873875,16317637,348947614,31957778,20476207,303238,234523,3147522,1164025,28507018,19077659,119012080,32991484,1675138,403008,0,0,117336942,32588476,0.0006,0.00539,0.02254,0.00329,0,0.09278
CALLAO,2018,1072583,719360,932647113,581006526,634047422,440256692,177456924,48345873,121142767,92403961,3213708,31522452,1546319,980334,81594050,0,462149663,7315354,0,0,0,7315354,0,0,0,8840000,7329960,8840000,7329960,0,0,0,0,0,0.04122,0,0.01394,0,0
CUSCO,2018,1340567,812933,4095947685,3000582683,906789596,781338872,843396005,447289768,2345762084,1771954043,454551903,132999724,261311674,102199287,1030233638,21992513,997293944,69641256,48448141,0,0,6805835,5740807,62835421,42707333,43487109,29549194,513053,83678,30970757,25923020,12003299,3542497,0,0.00807,0.02679,0.00057,0.03672,0.00512
HUANCAVELICA,2018,477137,203451,1050037341,716682422,159806362,121852554,286570517,149705442,603660462,445124425,97802471,16477065,162220295,14928542,176598886,8603669,240051494,25192447,16628371,1642932,1626252,3831709,2821074,19717806,12181045,68670448,2741970,184216,104479,56359725,1160899,12126507,1476592,0.01028,0.01337,0.03266,0.00115,0.19667,0.02009
HUANUCO,2018,862782,442730,1568341290,1094246663,349239243,306348852,385151686,247001966,833950361,540895845,234157870,86395144,162625358,14439042,393626154,367131,202635964,18887700,13547662,0,0,2588824,1144440,16298876,12403222,159965,47145,159965,47145,0,0,0,0,0,0.00672,0.01954,0.00046,0,0
ICA,2018,829753,567182,1064160596,576196089,453208456,229895930,109836801,52159026,501115339,294141132,72224841,4282119,48596730,8532272,179536228,1031272,261992627,12944951,8364220,0,0,0,0,12944951,8364220,76005782,7626368,26189079,134941,0,0,49816703,7491426,0,0,0.02583,0.05779,0,0.09941
JUNIN,2018,1347364,814863,1827055805,1206109161,401092654,343584982,473204209,271329260,952758942,591194919,157539392,133059361,208730861,36670522,400990102,4535605,264583318,71933299,49373880,0,0,0,0,71933299,49373880,3037777,2731891,51349,14074,0,0,2986428,2717817,0,0,0.0755,0.00013,0,0.00313
LA LIBERTAD,2018,1927650,1229196,2583649310,1121118293,293767480,209926352,744108663,145433145,1545773167,765758796,221263895,63216704,201883271,9068628,283115466,4430116,338140213,67842764,30296043,2156344,92740,0,0,65686420,30203303,384714972,56901371,37461920,7793645,25273643,599939,321979409,48507788,0.00734,0,0.04249,0.12752,0.03396,0.2083
LAMBAYEQUE,2018,1309881,800444,1256900789,768157647,363691218,197043071,377725925,260455018,515483646,310659558,69508815,5445160,179965398,10293959,198206398,2385592,302352325,17529750,7181522,7950174,0,0,0,9579576,7181522,160539958,41545578,68485626,10859452,4765333,0,87288999,30686126,0.02186,0,0.01858,0.18831,0.01262,0.16933
LIMA,2018,10280114,7026636,9624898234,6659777887,5528372858,4003369892,476079828,178668011,3620445548,2477739985,433487021,259821726,308023540,118918554,2773294964,11068975,2755163107,90432892,13343809,3387003,0,1923646,1764834,85122243,11578975,303416633,61652038,234280675,49983085,33795495,334713,35340463,11334240,0.00061,0.00404,0.02351,0.04238,0.07099,0.00976
LORETO,2018,1092198,552950,1310079920,978774956,482725868,363701165,302547542,265236942,524806510,349836849,149738418,66049258,181616180,21040767,394024175,932681,165373477,60497774,54438325,6455875,5034574,2205166,1809290,51836733,47594461,5122640,3368868,0,0,0,0,5122640,3368868,0.01337,0.00729,0.09877,0,0,0.00976
MADRE DE DIOS,2018,152620,108758,535282764,439138077,270603418,254305670,185291911,132953316,79387435,51879091,118490204,3415418,12507063,8753514,246508920,4000,49458958,13231850,2288345,325283,325283,1172439,699664,11734128,1263398,121688,26755,121688,26755,0,0,0,0,0.0012,0.00633,0.14781,0.00045,0,0
MOQUEGUA,2018,186995,128240,635580758,451108535,130732331,122896424,214997591,138021204,289850836,190190907,79062931,20552472,40295949,6220972,153920820,8952471,142102920,2660944,2343046,0,0,0,0,2660944,2343046,0,0,0,0,0,0,0,0,0,0,0.00918,0,0,0
PASCO,2018,305807,166595,861026148,505744875,194573705,168356306,385072740,186452082,281379703,150936486,48898954,33667641,37576991,6620775,257514145,9740791,111725578,12024778,8195780,0,0,7423459,6017418,4601319,2178362,79006,0,79006,0,0,0,0,0,0,0.01928,0.01635,0.00041,0,0
PIURA,2018,1898227,1243513,3303979170,1986535347,758798669,556458782,1253398455,678363713,1291782046,751712852,243177171,82365902,306810100,28275216,754998660,2101863,568806435,82418002,27001765,56540062,16751292,653193,590966,25224747,9659507,1148717338,431589223,150419676,71266653,641022244,229505418,357275418,130817152,0.07451,0.00052,0.01953,0.19823,0.51143,0.27658
PUNO,2018,1403301,767357,2242264030,1769986214,953595891,873941242,411065268,290349866,877602871,605695105,177869478,121870983,240460953,39483019,810851357,1218956,378231468,14923492,12028201,0,0,3562132,3242088,11361360,8786113,240399,0,240399,0,0,0,0,0,0,0.00867,0.01295,0.00025,0,0
SAN MARTIN,2018,891704,523149,1601876656,1109400879,442029376,372133460,420043208,239632277,739804072,497635143,149707983,64545891,239287428,39033358,408617175,22319543,185889501,153570598,47730622,2189620,2181364,1492507,1042687,149888471,44506571,14198409,6042100,12800,10278,0,0,14185609,6031822,0.00495,0.00355,0.20261,0.00003,0,0.01917
TACNA,2018,349518,247798,687266815,461822925,145663591,107683330,259597851,136931143,282005373,217208452,29747968,88352048,77228963,8109572,97279089,5983002,155122283,263498,237584,0,0,0,0,263498,237584,145769,43739,145769,43739,0,0,0,0,0,0,0.00093,0.001,0,0
TUMBES,2018,251451,157447,466293822,313399519,160294441,135133818,107891357,75630008,198108024,102635693,50557178,2235564,16870791,6497304,118263333,3493167,115482182,6143579,1216049,1310618,1212969,0,0,4832961,3080,44081378,11336629,9327161,343253,6713028,4112167,28041189,6881209,0.00818,0,0.0244,0.05819,0.06222,0.14154
UCAYALI,2018,541681,332933,847586149,515026604,125699111,85108817,373123337,217474835,348763701,212442952,98496677,95477826,73927797,7530226,102654666,20086188,116853224,67397,58487,0,0,0,0,67397,58487,123759,28149,123759,28149,0,0,0,0,0,0,0.00019,0.00098,0,0
NACIONAL,2018,32160192,20230391,49332024806,32273948886,15232419006,11560315953,11197415099,6145932876,22902190701,14567700053,4129892158,1797414287,3822683622,652280699,11582495486,228465133,10060717501,1020195508,522934059,90867076,33009377,153038689,98656059,776289743,391268622,2722546427,762474430,678614028,179992563,840303123,262639278,1203629276,319842590,0.00597,0.01367,0.0339,0.04455,0.07504,0.05256
AMAZONAS,2019,427041,245782,1084782775,716437123,320729318,292187003,384791435,195012366,379262022,229237754,107345814,10624314,156456013,17214030,265197319,18266313,141333320,15379804,14420318,5108678,4774792,8082593,7640535,2188533,2004991,4866888,195829,0,0,2065201,0,2801687,195829,0.01593,0.02101,0.00577,0,0.00537,0.00739
ANCASH,2019,1171756,732720,3187175653,1549716342,1035382895,555884555,463856534,222519622,1687936224,771312164,202546185,42131419,196932196,23587173,549616684,5521153,529381532,65471546,17239150,2728781,561273,25976110,2413369,36766655,14264508,664350855,197208058,499338260,118482110,9712552,0,155300043,78725948,0.00264,0.056,0.02178,0.48227,0.02094,0.09201
APURIMAC,2019,466936,255707,1419052806,1075499422,420969609,361317984,323291359,260661153,674791838,453520286,199593882,66876126,157063091,35563516,220898563,2832293,392671951,68122188,58270887,24842618,22962776,31607129,31432449,11672441,3875662,0,0,0,0,0,0,0,0,0.05901,0.09777,0.0173,0,0,0
AREQUIPA,2019,1350676,979286,2772777413,1494997773,655658998,364373922,829018201,466970669,1288100214,663653182,210044584,89717192,76127490,16354181,619583891,2685701,480484734,41223914,13323245,0,0,2607292,1064237,38616622,12259008,336724062,39378909,226551911,4039899,84391210,22451638,25780941,12887372,0,0.00315,0.02998,0.34553,0.1018,0.02001
AYACUCHO,2019,718634,391390,1972688083,1230944435,471560764,276407200,508205947,274784337,992921372,679752898,129798339,99032143,219271773,18404678,382983388,2346598,379107516,73743244,55152362,0,0,6394843,5844040,67348401,49308322,203037748,138073281,6355941,619017,0,0,196681807,137454263,0,0.01258,0.06783,0.01348,0,0.19808
CAJAMARCA,2019,1543104,858915,2404773465,1355024894,723128869,457085454,399781885,156882435,1281862711,741057005,200759209,37581551,282838764,2817036,460797488,1687691,368543155,58392859,28744399,71990,0,830783,301959,57490086,28442440,314282811,156697042,28480858,2489379,0,0,285801953,154207664,0.0001,0.00208,0.04485,0.03939,0,0.22296
CALLAO,2019,1067815,743670,1034602322,649359025,706991923,533451179,192485037,26378795,135125362,89529050,19584415,10857675,5904001,4341133,68636384,0,540035417,8538593,0,0,0,8538593,0,0,0,272968,272847,272968,272847,0,0,0,0,0,0.04436,0,0.00039,0,0
CUSCO,2019,1346373,832238,3447238836,2596086820,689166058,599597315,647948268,400096865,2110124510,1596392641,440143041,105390228,242288422,101180171,762096409,25364050,919624499,69637748,45319475,0,0,8747926,7399468,60889822,37920007,11241433,6177299,328325,278430,2452306,2451512,8460802,3447357,0,0.0135,0.02886,0.00048,0.00378,0.00401
HUANCAVELICA,2019,509117,203101,1132737238,795232806,291341754,262808917,314458071,189917226,526937413,342506663,117791900,82751640,100563608,12506938,182758223,1164254,297696243,17877372,10823315,1807157,1713087,3563042,2703713,12507173,6406515,144235197,65578254,14895018,1455650,69929464,22408687,59410715,41713917,0.0062,0.01133,0.02374,0.05113,0.22238,0.11275
HUANUCO,2019,889134,447924,1377128420,1048121534,438267771,388218970,334951751,274377159,603908898,385525405,159125794,111424295,118966505,14799146,361466050,779446,281560298,5261972,4589609,1850542,1841233,1447129,1437300,1964301,1311076,15501858,1759242,72540,51925,8664001,611234,6765317,1096084,0.00422,0.00432,0.00325,0.00017,0.02587,0.0112
ICA,2019,817965,587884,1081282770,754168187,477322079,393656392,188996117,118666843,414964574,241844952,95264717,5194097,57868761,15900657,237032880,460150,342446925,11556244,8557710,0,0,0,0,11556244,8557710,198062530,103651974,45908410,8182905,69693008,32278033,82461112,63191036,0,0,0.02785,0.09618,0.36875,0.19872
JUNIN,2019,1389850,828895,1444339057,877082855,242832757,199366899,440279291,211460751,761227009,466255205,122103315,66498743,187797872,30776882,287952023,4646622,177307398,67881713,38149124,0,0,0,0,67881713,38149124,10316035,3706829,36786,30181,0,0,10279249,3676648,0,0,0.08917,0.00015,0,0.0135
LA LIBERTAD,2019,1956389,1273336,2570843521,1465389242,543400496,353872463,259106989,134882249,1768336036,976634531,169937998,42919897,283158610,14815488,576259688,3131069,375166492,93691960,62727721,4695489,1253890,0,0,88996471,61473831,992599692,506843982,197055446,57970243,38653721,7799628,756890525,441074110,0.00864,0,0.05033,0.36263,0.14918,0.42802
LAMBAYEQUE,2019,1300720,823541,1107768126,658015290,318019269,172198520,363108578,275807749,426640279,210009020,99597727,18898374,49020955,2315894,153723617,7055139,327403584,14809119,5794793,11735427,3872185,0,0,3073692,1922607,350034601,143443427,126570047,39882387,42324431,10501563,181140123,93059477,0.0369,0,0.0072,0.39799,0.11656,0.42457
LIMA,2019,10458367,7263412,9300995533,6614895725,6524311888,5114431210,589766163,324144238,2186917482,1176320277,406845346,341165810,453058490,149607046,2349386231,6927304,2907905498,35896379,14416929,11501956,3387280,1809513,425872,22584910,10603777,691777505,315365745,370986869,164531451,191946232,91374898,128844404,59459396,0.00176,0.00307,0.01033,0.05686,0.32546,0.05892
LORETO,2019,1077831,567424,1301875866,883368122,320403835,273837053,494565952,329253563,486906079,280277505,172763441,92182955,96596401,33981312,361437924,1099462,125306627,28625014,24615782,7294071,7292327,7051789,3879332,14279154,13444122,8547475,2313229,2421697,1795,0,0,6125778,2311435,0.02277,0.01426,0.02933,0.00756,0,0.01258
MADRE DE DIOS,2019,150181,114120,611768532,475881773,294630703,272423306,205180314,164513552,111957515,38944916,85438828,6552479,20964039,2973184,306761326,0,53191917,13762044,7201409,0,0,2961636,2934284,10800408,4267125,45880,34716,45880,34716,0,0,0,0,0,0.01443,0.09647,0.00016,0,0
MOQUEGUA,2019,187941,131227,659695108,486104294,193004908,156678301,185959665,133403169,280730535,196022823,76450715,11195513,50389785,25863769,149954027,5705637,166544848,420363,216114,0,0,10000,9590,410363,206524,18553422,4561944,0,0,9156989,2632270,9396433,1929674,0,0.00005,0.00146,0,0.04924,0.03347
PASCO,2019,312777,168356,888194789,632707653,262040704,240907991,347629207,233572897,278524878,158226764,42933019,120575361,52561276,7896970,281742720,8334689,118663618,12725795,10871028,0,0,8672565,7137970,4053230,3733058,17705321,2928347,0,0,13096034,527785,4609287,2400562,0,0.02495,0.01455,0,0.03767,0.01655
PIURA,2019,1901896,1282434,4078440779,2105827245,1054138179,694729094,1400634229,446761184,1623668371,964336967,269902319,95886541,311092054,29530264,827616475,1437717,570361875,135169742,91193935,89511756,62148696,1052199,965955,44605787,28079285,2144344879,829554781,393115845,130735279,916630372,188227604,834598662,510591898,0.08491,0.00075,0.02747,0.37293,0.65444,0.51402
PUNO,2019,1471405,773062,2054563666,1623650317,912698331,849663594,399615555,251127197,742249780,522859526,158981118,87604149,223674484,13032566,838293206,10848266,291216528,1719705,1482111,38621,35000,628106,615546,1052978,831565,152710,140563,152710,140563,0,0,0,0,0.00004,0.00157,0.00142,0.00017,0,0
SAN MARTIN,2019,884795,537665,1628962464,1091948748,531960998,393120556,381877967,296939873,715123499,401888320,223531791,70069105,210201152,18451362,285041874,9765273,274888191,211610947,59911263,717223,717221,4612533,4465348,206281191,54728694,31797553,9697923,0,0,4896413,1637074,26901140,8060849,0.00135,0.01208,0.28846,0,0.01282,0.03762
TACNA,2019,358314,256285,651703332,434270635,149345652,105360201,284001191,184310553,218356489,144599881,55987049,97113168,24022928,8538260,95315781,1712650,151580799,3952847,1461,0,0,0,0,3952847,1461,83373,79223,83373,79223,0,0,0,0,0,0,0.0181,0.00056,0,0
TUMBES,2019,248877,162221,614273111,310244979,289974955,178500860,148111094,54997956,176187062,76746163,32395746,4180989,12594442,8638823,160396716,934710,91103553,15068143,1271298,7000938,981544,0,0,8067205,289754,186932327,53844615,99478205,21456930,46979760,15306655,40474362,17081030,0.02414,0,0.04579,0.34306,0.31719,0.22972
UCAYALI,2019,518190,346909,1019324663,837335000,135277210,112400486,549292473,496039154,334754980,228895361,100524464,183002448,154650956,4719095,236231950,17490345,140715742,4456574,2441253,0,0,0,0,4456574,2441253,5799967,168515,52190,42061,0,0,5747777,126454,0,0,0.01331,0.00039,0,0.01717
NACIONAL,2019,32526084,20807504,48846988328,31762310239,18002559923,13602479425,10636913273,6123481555,20207515132,12036349259,3899390756,1899426212,3744064068,613809574,11021180837,140196532,10444242260,1074995829,576734691,168905247,111541304,124593781,80670967,781496801,384522419,6351267090,2581676574,2012203279,550776991,1510591694,398208581,2828472117,1632691003,0.00938,0.01171,0.03867,0.11177,0.14201,0.13997
AMAZONAS,2020,428752,249400,1004026732,761329323,302758163,269528006,310947051,283182585,390321518,208618732,84872077,38136586,120081220,4392358,355953520,23370619,134522943,2610841,2597001,2040006,2029377,542695,542692,28140,24931,1510436,442678,0,0,0,0,1510436,442678,0.00674,0.00175,0.00007,0,0,0.00387
ANCASH,2020,1177538,746192,3273240154,1338237510,922365513,355520855,449683288,201610257,1901191353,781106398,179849368,54425292,179076240,21785106,480002961,2864431,420234112,14352424,3974184,0,0,11518683,3287109,2833741,687075,938417996,272370213,594147970,136307597,40396012,17140010,303874014,118922606,0,0.02562,0.00149,0.64416,0.08983,0.15983
APURIMAC,2020,469831,258259,1096323562,799796791,233064471,198902415,247107743,216285934,616151348,384608442,140482651,73749303,96602688,31810018,171872804,15246,285264081,19091665,18839179,0,0,14547325,14536720,4544340,4302459,0,0,0,0,0,0,0,0,0,0.05887,0.00738,0,0,0
AREQUIPA,2020,1378106,1006836,2541570529,1347604610,343175929,210984318,700300609,412678890,1498093991,723941401,192077442,140160981,92941511,24682769,523325231,4314598,370102078,964058,233580,0,0,0,0,964058,233580,225396568,77195811,133649649,38846029,60681886,28325741,31065033,10024041,0,0,0.00064,0.38945,0.08665,0.02074
AYACUCHO,2020,726455,396790,1800190812,1112889289,180440388,159150598,464045691,296856952,1155704733,656881739,138569510,113715329,193621939,16182503,333800893,3018346,313980769,7860214,6248257,0,0,1548775,1481569,6311439,4766687,138522383,84002120,1768862,622306,1317011,0,135436510,83379814,0,0.00334,0.00546,0.0098,0.00284,0.11719
CAJAMARCA,2020,1546741,869759,2546484901,1305774062,558321933,431395646,425556920,132076603,1562606048,742301813,134474487,41304144,339831262,10316667,461166188,3078591,315602723,2345632,1947474,109003,106502,1433128,1357588,803501,483383,237308219,118714497,21422945,11710448,660240,0,215225034,107004049,0.0002,0.00337,0.00051,0.03837,0.00155,0.13773
CALLAO,2020,1083142,763229,710638704,532278767,451977370,396991309,122415999,65464884,136245335,69822575,15634689,48783921,11100605,13138950,29317719,0,414302883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUSCO,2020,1354360,848458,2996366316,2152264416,725415888,504993505,495721319,362823135,1775229109,1284447776,289560675,136305214,242118266,87671136,549053042,24576602,822979481,24395109,23694324,0,0,6993889,6938827,17401220,16755498,7596081,6897542,4701,0,2577935,2577935,5013445,4319607,0,0.01411,0.0098,0.00001,0.0052,0.00282
HUANCAVELICA,2020,512952,202193,1011207788,631804884,220959660,161430892,256066435,156643658,534181693,313730335,77137669,89893304,87362551,10668773,129572900,261721,236907966,8393036,8093901,3670941,3670180,4184325,4080799,537770,342922,125624551,49333299,21254266,5460315,50392920,16170987,53977365,27701997,0.01661,0.01634,0.00101,0.09619,0.1968,0.10105
HUANUCO,2020,917192,451744,1259558330,906719599,362879545,329302988,294876038,234793476,601802747,342623135,118975455,87970702,104016405,13233830,395995788,1059027,185468392,5206816,5013546,3009704,3005126,2096620,1984039,100492,24380,24293109,10312796,0,0,8000201,6453605,16292908,3859191,0.00829,0.00711,0.00017,0,0.02713,0.02707
ICA,2020,825976,606554,1117825985,543673911,334569831,252419555,335333597,92640130,447922557,198614226,91765132,33336306,66676031,20804500,135509054,392339,195190549,79918,0,0,0,74723,0,5195,0,432860451,109532712,119258563,59800097,262575802,32773669,51026086,16958947,0,0.00022,0.00001,0.35645,0.78303,0.11392
JUNIN,2020,1400043,839976,1239145516,784574688,189812261,143097688,314731447,240018159,734601808,401458841,75624043,67139666,98350017,14394625,295187297,1068868,232810172,704477,641812,0,0,0,0,704477,641812,10311579,6056056,0,0,0,0,10311579,6056056,0,0,0.00096,0,0,0.01404
LA LIBERTAD,2020,1990361,1307923,2815314558,1429960257,745779901,435029611,291642717,166033208,1777891940,828897439,217056271,44417671,157181966,9162834,662397356,3420077,336324082,1025882,806085,0,0,0,0,1025882,806085,1274748066,559845019,347238929,125772743,77616966,36917956,849892171,397154320,0,0,0.00058,0.46561,0.26614,0.47803
LAMBAYEQUE,2020,1311219,841252,1542199490,898180497,611610911,399196379,330847863,262967418,599740716,236016699,127454851,35175007,33095366,16167258,283402547,600914,402284554,0,0,0,0,0,0,0,0,835399375,450805477,463098774,299043012,55148659,27248018,317151942,124514448,0,0,0,0.75718,0.16669,0.52882
LIMA,2020,10624449,7455078,8150183453,6044761056,5677471151,4673331861,340433067,252650925,2132279235,1118778270,667237659,319531079,420243553,139551815,2379809219,4725220,2113662511,572640,296616,24500,23127,0,0,548140,273489,610713543,330625126,339499339,155602667,86297201,52993516,184917003,122028943,0,0,0.00026,0.0598,0.25349,0.08672
LORETO,2020,1088076,579123,1437705110,964245746,329221773,279949305,602666530,370404381,505816807,313892060,150287538,86237366,151458738,41868906,286944189,7030430,240418579,37975798,32076803,7814847,7814843,30152126,24261960,8825,0,23315332,15995377,1725881,0,354750,300626,21234701,15694751,0.02374,0.05003,0.00002,0.00524,0.00059,0.04198
MADRE DE DIOS,2020,153674,118956,492989863,427400740,260199526,254024983,132442593,114992937,100347744,58382820,46396323,18896786,17776898,4865742,281219530,102632,58142829,32967,19000,0,0,0,0,32967,19000,4701,1419,4701,1419,0,0,0,0,0,0,0.00033,0.00002,0,0
MOQUEGUA,2020,189910,133685,619217422,464596705,163317742,155501884,166746041,149548223,289153639,159546598,96436128,15239567,19254297,11646988,120300779,7728852,193990094,46264,39732,0,0,0,0,46264,39732,28216302,12394196,0,0,6385841,5470439,21830461,6923757,0,0,0.00016,0,0.0383,0.0755
PASCO,2020,315073,169519,595735044,411388022,131326052,106634938,204250403,154556994,260158589,150196090,29787594,55745300,32302206,4665659,196429624,1899620,90558019,95948,82173,0,0,0,0,95948,82173,14776974,12810812,0,0,12568248,11094385,2208726,1716427,0,0,0.00037,0,0.06153,0.00849
PIURA,2020,1917139,1314938,4419052034,2319275827,1362112447,722633885,1246658130,648048327,1810281457,948593615,372579373,191674274,277659235,41617409,919214270,2765725,513765541,4831924,3776190,0,0,2934046,2934045,1897878,842146,2725993351,1235665552,895002461,297982454,870007214,439069751,960983676,498613346,0,0.00235,0.00105,0.65707,0.69787,0.53085
PUNO,2020,1486225,776398,1816605458,1430993232,709338703,644476680,314140003,285072069,793126752,501444482,127002816,154428853,170427987,8181516,599961271,2498945,368491844,156000,155605,0,0,0,0,156000,155605,984473,464386,251320,174800,0,0,733153,289586,0,0,0.0002,0.00035,0,0.00092
SAN MARTIN,2020,896452,550312,1232899512,849214745,218805742,200840687,287958905,257457618,726134865,390916440,124983200,57602379,184373716,17058889,208816216,7113504,249266841,3209748,3203556,0,0,3117636,3111445,92112,92111,41369327,27066676,0,0,7508892,5728524,33860435,21338152,0,0.01083,0.00013,0,0.02608,0.04663
TACNA,2020,362641,263372,644157454,485495496,83979264,57719697,263983483,236159226,296194707,191616573,51744687,79507278,28079542,8648260,77363759,6515951,233636019,0,0,0,0,0,0,0,0,20527357,216160,0,0,0,0,20527357,216160,0,0,0,0,0,0.0693
TUMBES,2020,251878,166252,717321712,335123178,323755113,173168280,169340373,63463114,224226226,98491784,24360064,21777544,19280417,8951937,90427045,645473,169680698,341405,289795,0,0,311405,289795,30000,0,304269428,97754599,193663745,65665038,58773115,3151416,51832568,28938145,0,0.00184,0.00013,0.59818,0.34707,0.23116
UCAYALI,2020,524376,358578,709691889,534238294,100360692,84006182,353175759,293055611,256155438,157176501,37940156,86379184,88895865,5281413,179326521,16904887,119510268,1732366,1210382,0,0,0,0,1732366,1210382,5621322,4536930,0,0,0,0,5621322,4536930,0,0,0.00676,0,0,0.02194
NACIONAL,2020,32932561,21274776,45789652328,28811821645,15543019969,11600232147,9121072004,5949484714,21125560355,11262104784,3612289858,2091533036,3231808521,586749861,10146369723,125972618,9017098028,136025132,113239195,16669001,16649155,79455376,64806588,39900755,31783450,0,0,3131992106,1196988925,1601262893,685416578,3294525925,1600633951,0.00107,0.00871,0.00189,0.2015,0.17556,0.15595
