Departamento,Year,Poblacion,Electores,PIM,Devengado,PIM_GN,Devengado_GN,PIM_GR,Devengado_GR,PIM_GL,Devengado_GL,Educacion,Salud,Saneamiento,Ambiente,Transportes,Turismo,Otros,PIM_CC,Devengado_CC,PIM_CC_GN,Devengado_CC_GN,PIM_CC_GR,Devengado_CC_GR,PIM_CC_GL,Devengado_CC_GL,Asignacion_Presupuestal_FONDES,Devengado_FONDES,Marco_Presupuestal_GN_Fondes,Devengado_GN_Fondes,Marco_Presupuestal_GR_Fondes,Devengado_GR_Fondes,Marco_Presupuestal_GL_Fondes,Devengado GL Fondes,PIM_CC_GN_ENTRE_PIM,PIM_CC_GR_ENTRE_PIM,PIM_CC_GL_ENTRE_PIM,AP_GN_Fondes_Entre_PIM,AP_GR_Fondes_Entre_PIM,AP_GL_Fondes_Entre_PIM
PIURA,2015,1844129,1128746,1967780575,1628653848,684177301,642567841,315904308,268276271,967698966,717809735,261487235,25928819,256292897,5760692,583451414,249113,495483678,9476639,4241743,47200,47200,163077,88636,9266362,4105907,0,0,0,0,0,0,0,0,0.00007,0.00052,0.00958,0,0,0
PUNO,2015,1415608,750285,1873653581,1295697108,651263232,558376805,233053728,179806090,989336621,557514213,198060767,47892406,221958509,12860607,455900169,3684143,355340507,7960321,4479475,0,0,2276606,2276603,5683715,2202872,0,0,0,0,0,0,0,0,0,0.00977,0.00574,0,0,0
SAN MARTIN,2015,840790,481748,1322987725,1081917090,187889318,155781020,665581804,599241513,469516603,326894557,194632703,212951314,96451081,16016528,392926448,4482738,164456278,14159635,12682696,0,0,3035124,1937841,11124511,10744854,0,0,0,0,0,0,0,0,0,0.00456,0.02369,0,0,0
TACNA,2015,341838,223313,454080628,347016020,51462886,33553840,92580654,70572986,310037088,242889194,25327044,6737085,16497256,8671714,146294086,1244358,142244477,5219052,4963656,0,0,0,0,5219052,4963656,0,0,0,0,0,0,0,0,0,0,0.01683,0,0,0
TUMBES,2015,237685,143767,332738639,229257269,82324840,60295946,82733322,44671609,167680477,124289713,40884781,1695550,50687641,3814841,38782362,302899,93089195,1015028,883104,0,0,329622,293417,685406,589686,0,0,0,0,0,0,0,0,0,0.00398,0.00409,0,0,0
UCAYALI,2015,495522,292487,702498307,574855205,276818687,252825680,194553084,146712852,231126536,175316673,101547642,36724252,15314324,7076045,262905424,48131825,103155693,201392,25034,0,0,0,0,201392,25034,0,0,0,0,0,0,0,0,0,0,0.00087,0,0,0
NACIONAL,2015,31151643,18549934,39061581479,30461815412,16222184702,14625897472,6961409930,5549289329,15877986847,10286628609,4422990431,1759168406,2750836813,423409053,9470356853,173428811,11461625045,441760934,310196927,15272415,15153396,130230259,116916092,296258260,178127436,0,0,0,0,0,0,0,0,0.00094,0.01871,0.01866,0,0,0
AMAZONAS,2016,423898,232278,933424894,678069135,364449514,285503259,240859631,173227726,328115749,219338149,123555322,22529844,85658854,6340086,285234769,46615187,108135073,12701218,10974041,19110,5919,8733077,8093099,3949031,2875024,0,0,0,0,0,0,0,0,0.00005,0.03626,0.01204,0,0,0
ANCASH,2016,1154639,676037,1326827022,706158454,246615505,115397006,206609319,54698683,873602198,536062765,83222946,8612010,192838860,7951044,141907404,1982749,269643441,42978803,27144491,5358697,4930559,6328136,3303304,31291970,18910627,0,0,0,0,0,0,0,0,0.02173,0.03063,0.03582,0,0,0
APURIMAC,2016,460868,245364,1441580350,888306472,237600276,161101642,229114720,156637698,974865354,570567132,257539923,31087592,131792492,30130044,242402995,344685,195008741,70815918,56818386,0,0,38692447,38137233,32123471,18681152,0,0,0,0,0,0,0,0,0,0.16888,0.03295,0,0,0
AREQUIPA,2016,1301298,878878,2009221200,1234891463,377705625,238774950,567981002,373840425,1063534573,622276088,108421138,55413160,167863170,13476994,436579102,14983041,438154858,21265078,8681053,0,0,0,0,21265078,8681053,0,0,0,0,0,0,0,0,0,0,0.01999,0,0,0
