ANO_EJE,DEPARTAMENTO_META_NOMBRE,TIPO_GOBIERNO_NOMBRE,MARCO_PRESUPUESTAL,MONTO_DEVENGADO
2019,CUSCO,TRES NIVELES DE GOBIERNO,11241433,6177299
2019,HUANCAVELICA,GOBIERNO NACIONAL,14959930,1455649
2019,HUANCAVELICA,GOBIERNOS LOCALES,61620675,41713919
2019,HUANCAVELICA,GOBIERNOS REGIONALES,69929464,22408687
2019,HUANCAVELICA,TRES NIVELES DE GOBIERNO,144235197,65578253
2019,HUANUCO,GOBIERNO NACIONAL,72540,51925
2019,HUANUCO,GOBIERNOS LOCALES,6765317,1096084
2019,HUANUCO,GOBIERNOS REGIONALES,8664001,611234
2019,HUANUCO,TRES NIVELES DE GOBIERNO,15501858,1759243
2019,ICA,GOBIERNO NACIONAL,50042029,8182905
2019,ICA,GOBIERNOS LOCALES,101077768,63191033
2019,ICA,GOBIERNOS REGIONALES,69693008,32278033
2019,ICA,TRES NIVELES DE GOBIERNO,198062530,103651974
2019,JUNIN,GOBIERNO NACIONAL,40133,30181
2019,JUNIN,GOBIERNOS LOCALES,12940649,3676648
2019,JUNIN,TRES NIVELES DE GOBIERNO,10316035,3706829
2019,LA LIBERTAD,GOBIERNO NACIONAL,206043636,57970244
2019,LA LIBERTAD,GOBIERNOS LOCALES,834803420,441074120
2019,LA LIBERTAD,GOBIERNOS REGIONALES,50377582,7799629
2019,LA LIBERTAD,TRES NIVELES DE GOBIERNO,992599692,506843981
2019,LAMBAYEQUE,GOBIERNO NACIONAL,146948894,39882385
2019,LAMBAYEQUE,GOBIERNOS LOCALES,228617837,93059480
2019,LAMBAYEQUE,GOBIERNOS REGIONALES,42324431,10501562
2019,LAMBAYEQUE,TRES NIVELES DE GOBIERNO,349940062,143443426
2019,LIMA,GOBIERNO NACIONAL,391556099,164531453
2019,LIMA,GOBIERNOS LOCALES,174770198,59457645
2019,LIMA,GOBIERNOS REGIONALES,195166094,91374896
2019,LIMA,TRES NIVELES DE GOBIERNO,691777505,315363994
2019,LORETO,GOBIERNO NACIONAL,2800416,1795
2019,LORETO,GOBIERNOS LOCALES,6125778,2311435
2019,LORETO,TRES NIVELES DE GOBIERNO,8547475,2313230
2019,MADRE DE DIOS,GOBIERNO NACIONAL,45880,34716
2019,MADRE DE DIOS,TRES NIVELES DE GOBIERNO,45880,34716
2019,MOQUEGUA,GOBIERNOS LOCALES,9396433,1929674
2019,MOQUEGUA,GOBIERNOS REGIONALES,9156989,2632271
2019,MOQUEGUA,TRES NIVELES DE GOBIERNO,18553422,4561944
2019,NACIONAL,GOBIERNO NACIONAL,2012049275,550776989
2019,NACIONAL,GOBIERNOS LOCALES,2830016050,1632676035
2019,NACIONAL,GOBIERNOS REGIONALES,1510591694,398208581
2019,NACIONAL,TRES NIVELES DE GOBIERNO,6352657019,2581661608
2019,PASCO,GOBIERNOS LOCALES,4609287,2400561
2019,PASCO,GOBIERNOS REGIONALES,13096034,527785
2019,PASCO,TRES NIVELES DE GOBIERNO,17705321,2928347
2019,PIURA,GOBIERNO NACIONAL,593758507,130735279
2019,PIURA,GOBIERNOS LOCALES,893129078,510591903
2019,PIURA,GOBIERNOS REGIONALES,988253078,188227604
2019,PIURA,TRES NIVELES DE GOBIERNO,2144325644,829554779
2019,PROVINCIA CONSTITUCIONAL DEL CALLAO,GOBIERNO NACIONAL,272968,272847
2019,PROVINCIA CONSTITUCIONAL DEL CALLAO,TRES NIVELES DE GOBIERNO,272968,272847
2019,PUNO,GOBIERNO NACIONAL,152710,140563
2019,PUNO,TRES NIVELES DE GOBIERNO,152710,140563
2019,SAN MARTIN,GOBIERNOS LOCALES,26901140,8060849
2019,SAN MARTIN,GOBIERNOS REGIONALES,4896413,1637075
2019,SAN MARTIN,TRES NIVELES DE GOBIERNO,31797553,9697923
2019,TACNA,GOBIERNO NACIONAL,83373,79223
2019,TACNA,TRES NIVELES DE GOBIERNO,83373,79223
2019,TUMBES,GOBIERNO NACIONAL,117480359,21456931
2019,TUMBES,GOBIERNOS LOCALES,44418257,17081031
2019,TUMBES,GOBIERNOS REGIONALES,46979760,15306654
2019,TUMBES,TRES NIVELES DE GOBIERNO,186932327,53844614
2019,UCAYALI,GOBIERNO NACIONAL,52190,42061
2019,UCAYALI,GOBIERNOS LOCALES,5747777,126454
2019,UCAYALI,TRES NIVELES DE GOBIERNO,5799967,168515
2020, ,GOBIERNOS LOCALES,0,0
2020, ,TRES NIVELES DE GOBIERNO,0,0
2020,AMAZONAS,GOBIERNOS LOCALES,2693934,1537179
2020,AMAZONAS,TRES NIVELES DE GOBIERNO,2693934,1537179
2020,ANCASH,GOBIERNO NACIONAL,751224791,136296599
2020,ANCASH,GOBIERNOS LOCALES,303874014,116139077
2020,ANCASH,GOBIERNOS REGIONALES,40396012,16962431
2020,ANCASH,TRES NIVELES DE GOBIERNO,938417996,269398108
2020,AREQUIPA,GOBIERNO NACIONAL,133649649,38846027
2020,AREQUIPA,GOBIERNOS LOCALES,31065033,9590915
2020,AREQUIPA,GOBIERNOS REGIONALES,60681886,28325741
2020,AREQUIPA,TRES NIVELES DE GOBIERNO,225396568,76762685
2020,AYACUCHO,GOBIERNO NACIONAL,1768862,622305
2020,AYACUCHO,GOBIERNOS LOCALES,137217737,79113632
2020,AYACUCHO,GOBIERNOS REGIONALES,1317011,0
2020,AYACUCHO,TRES NIVELES DE GOBIERNO,140303610,79735935
2020,CAJAMARCA,GOBIERNO NACIONAL,22029378,11710448
2020,CAJAMARCA,GOBIERNOS LOCALES,212106745,105841974
2020,CAJAMARCA,GOBIERNOS REGIONALES,660240,0
2020,CAJAMARCA,TRES NIVELES DE GOBIERNO,234492234,117546974
2020,CUSCO,GOBIERNO NACIONAL,4701,0
2020,CUSCO,GOBIERNOS LOCALES,5013445,4319607
2020,CUSCO,GOBIERNOS REGIONALES,2577935,2577935
2020,CUSCO,TRES NIVELES DE GOBIERNO,7596081,6897542
2020,HUANCAVELICA,GOBIERNO NACIONAL,21254266,5432186
2020,HUANCAVELICA,GOBIERNOS LOCALES,53977365,27430754
2020,HUANCAVELICA,GOBIERNOS REGIONALES,50392920,16169986
2020,HUANCAVELICA,TRES NIVELES DE GOBIERNO,125624551,49032927
2020,HUANUCO,GOBIERNOS LOCALES,16292908,3854140
2020,HUANUCO,GOBIERNOS REGIONALES,8000201,6453606
2020,HUANUCO,TRES NIVELES DE GOBIERNO,24293109,10307746
2020,ICA,GOBIERNO NACIONAL,119258563,59494914
2020,ICA,GOBIERNOS LOCALES,51036431,16836747
2020,ICA,GOBIERNOS REGIONALES,262071359,32773669
2020,ICA,TRES NIVELES DE GOBIERNO,430380926,109105328
2020,JUNIN,GOBIERNOS LOCALES,10311579,6056056
2020,JUNIN,TRES NIVELES DE GOBIERNO,10311579,6056057
2020,LA LIBERTAD,GOBIERNO NACIONAL,387686625,125772749
2020,LA LIBERTAD,GOBIERNOS LOCALES,845071884,384662316
2020,LA LIBERTAD,GOBIERNOS REGIONALES,77290531,36917956
2020,LA LIBERTAD,TRES NIVELES DE GOBIERNO,1268020243,547353009
2020,LAMBAYEQUE,GOBIERNO NACIONAL,494651391,299035016
2020,LAMBAYEQUE,GOBIERNOS LOCALES,313099586,119522962
2020,LAMBAYEQUE,GOBIERNOS REGIONALES,55148659,24128382
2020,LAMBAYEQUE,TRES NIVELES DE GOBIERNO,831906334,438893129
2020,LIMA,GOBIERNO NACIONAL,339499339,134888197
2020,LIMA,GOBIERNOS LOCALES,184917742,116836274
2020,LIMA,GOBIERNOS REGIONALES,86297201,52951831
2020,LIMA,TRES NIVELES DE GOBIERNO,610714282,304676298
2020,LORETO,GOBIERNO NACIONAL,1725881,0
2020,LORETO,GOBIERNOS LOCALES,21234701,15226785
2020,LORETO,GOBIERNOS REGIONALES,354750,300626
2020,LORETO,TRES NIVELES DE GOBIERNO,23315332,15527412
2020,MADRE DE DIOS,GOBIERNO NACIONAL,4701,1419
2020,MADRE DE DIOS,TRES NIVELES DE GOBIERNO,4701,1419
2020,MOQUEGUA,GOBIERNOS LOCALES,21830461,6912801
2020,MOQUEGUA,GOBIERNOS REGIONALES,6385841,5466989
2020,MOQUEGUA,TRES NIVELES DE GOBIERNO,28216302,12379789
2020,NACIONAL,GOBIERNO NACIONAL,3110720771,1175893636
2020,NACIONAL,GOBIERNOS LOCALES,3289875369,1557776325
2020,NACIONAL,GOBIERNOS REGIONALES,1606489188,674528932
2020,NACIONAL,TRES NIVELES DE GOBIERNO,8007085328,3408198897
2020,PASCO,GOBIERNOS LOCALES,2208726,1715628
2020,PASCO,GOBIERNOS REGIONALES,12568248,11075021
2020,PASCO,TRES NIVELES DE GOBIERNO,14776974,12790648
2020,PIURA,GOBIERNO NACIONAL,947211251,297981499
2020,PIURA,GOBIERNOS LOCALES,960993417,494116001
2020,PIURA,GOBIERNOS REGIONALES,881117082,431544818
2020,PIURA,TRES NIVELES DE GOBIERNO,2714242898,1223642309
2020,PUNO,GOBIERNO NACIONAL,251320,174800
2020,PUNO,GOBIERNOS LOCALES,733153,289586
2020,PUNO,TRES NIVELES DE GOBIERNO,984473,464386
2020,SAN MARTIN,GOBIERNOS LOCALES,33860435,20503682
2020,SAN MARTIN,GOBIERNOS REGIONALES,7508892,5728524
2020,SAN MARTIN,TRES NIVELES DE GOBIERNO,41369327,26232207
2020,TACNA,GOBIERNOS LOCALES,20527357,216160
2020,TACNA,TRES NIVELES DE GOBIERNO,20527357,216160
2020,TUMBES,GOBIERNO NACIONAL,283655629,65637490
2020,TUMBES,GOBIERNOS LOCALES,65301889,28938149
2020,TUMBES,GOBIERNOS REGIONALES,66815715,3151417
2020,TUMBES,TRES NIVELES DE GOBIERNO,307875195,97727049
2020,UCAYALI,GOBIERNOS LOCALES,5621322,1914597
2020,UCAYALI,TRES NIVELES DE GOBIERNO,5621322,1914597
